Reg Number,Name,Year,Branch,CGPA
20BME3216,Ishita Gupta,4,Mechanical Engineering,7.87
23BCE9643,Neha Iyer,1,Computer Engineering,9.35
21BCE0230,Neha Das,3,Computer Engineering,9.86
23BIT1883,Sneha Patel,1,Information Technology,9.54
23BCE3586,Ananya Verma,1,Computer Engineering,7.16
20BIT5614,Neha Iyer,4,Information Technology,9.93
20BME2288,Arjun Patel,4,Mechanical Engineering,9.37
23BCH1022,Aditya Patel,1,Chemical Engineering,9.07
21BCE7685,Arjun Reddy,3,Computer Engineering,7.99
22BIT3791,Vivaan Das,2,Information Technology,8.58
21BCH3340,Ishita Gupta,3,Chemical Engineering,6.02
23BCE3918,Aarav Sharma,1,Computer Engineering,7.21
21BME4281,Aarav Singh,3,Mechanical Engineering,9.6
21BEE0480,Ishita Sharma,3,Electrical Engineering,8.46
20BME6316,Ananya Nair,4,Mechanical Engineering,8.21
22BEE9168,Arjun Gupta,2,Electrical Engineering,8.89
20BCH7948,Vivaan Patel,4,Chemical Engineering,7.23
23BIT0984,Aditya Verma,1,Information Technology,7.93
23BIT9861,Aarav Roy,1,Information Technology,6.2
21BCE2022,Vivaan Verma,3,Computer Engineering,8.47
20BCH0015,Arjun Nair,4,Chemical Engineering,6.63
23BCE0647,Krishna Nair,1,Computer Engineering,7.02
20BEE8404,Neha Verma,4,Electrical Engineering,9.38
21BEE7993,Krishna Reddy,3,Electrical Engineering,8.67
23BME3604,Arjun Roy,1,Mechanical Engineering,7.84
22BCE8357,Vivaan Das,2,Computer Engineering,7.93
20BIT4376,Ananya Roy,4,Information Technology,7.09
21BEE8496,Aditya Sharma,3,Electrical Engineering,9.74
23BEE0709,Ananya Roy,1,Electrical Engineering,9.68
21BCE0855,Ishita Singh,3,Computer Engineering,8.84
22BCE5905,Arjun Gupta,2,Computer Engineering,6.28
20BCE2930,Vivaan Reddy,4,Computer Engineering,8.62
23BIT5904,Arjun Roy,1,Information Technology,7.94
22BIT1538,Arjun Patel,2,Information Technology,6.77
20BCH8408,Neha Patel,4,Chemical Engineering,9.97
22BCH3040,Sneha Nair,2,Chemical Engineering,6.43
20BME1545,Ananya Iyer,4,Mechanical Engineering,6.41
22BCH4802,Krishna Singh,2,Chemical Engineering,8.24
22BCH1313,Krishna Gupta,2,Chemical Engineering,6.35
20BCH2163,Aarav Sharma,4,Chemical Engineering,6.21
22BCE5943,Ananya Gupta,2,Computer Engineering,6.42
22BEE1549,Sneha Sharma,2,Electrical Engineering,6.22
20BCE6003,Aarav Gupta,4,Computer Engineering,8.84
20BCH6037,Pooja Reddy,4,Chemical Engineering,7.96
23BCE9029,Aarav Singh,1,Computer Engineering,9.75
20BCE2656,Vivaan Roy,4,Computer Engineering,7.21
22BIT1762,Sneha Gupta,2,Information Technology,6.67
22BME6526,Aditya Roy,2,Mechanical Engineering,9.97
21BCH9911,Vivaan Das,3,Chemical Engineering,9.1
23BME1961,Ananya Roy,1,Mechanical Engineering,6.33
20BEE7546,Aarav Singh,4,Electrical Engineering,8.12
20BME1530,Vivaan Roy,4,Mechanical Engineering,8.52
20BEE6994,Ishita Gupta,4,Electrical Engineering,7.94
22BCE0858,Ishita Reddy,2,Computer Engineering,7.72
21BEE6503,Arjun Iyer,3,Electrical Engineering,7.41
20BME2769,Vivaan Singh,4,Mechanical Engineering,6.71
20BEE0696,Neha Iyer,4,Electrical Engineering,6.13
21BCH2897,Sneha Iyer,3,Chemical Engineering,6.19
21BIT9574,Aarav Das,3,Information Technology,8.37
23BCE2309,Aditya Das,1,Computer Engineering,8.48
22BCE7013,Aarav Reddy,2,Computer Engineering,9.29
22BCE2669,Ananya Patel,2,Computer Engineering,9.48
22BCE3718,Aarav Verma,2,Computer Engineering,9.87
20BCH0010,Aarav Patel,4,Chemical Engineering,7.54
23BIT8108,Krishna Singh,1,Information Technology,9.49
20BEE5569,Arjun Gupta,4,Electrical Engineering,8.01
22BCE4985,Arjun Iyer,2,Computer Engineering,8.15
20BME3477,Neha Singh,4,Mechanical Engineering,9.95
20BME9774,Sneha Reddy,4,Mechanical Engineering,7.88
20BCH7896,Aditya Iyer,4,Chemical Engineering,6.36
21BCH4642,Aditya Patel,3,Chemical Engineering,7.62
22BME7317,Sneha Roy,2,Mechanical Engineering,8.52
23BEE0759,Krishna Patel,1,Electrical Engineering,7.58
20BME5538,Vivaan Nair,4,Mechanical Engineering,6.03
20BME0986,Ananya Nair,4,Mechanical Engineering,9.34
23BCH5679,Krishna Reddy,1,Chemical Engineering,9.98
20BIT5871,Ananya Nair,4,Information Technology,7.55
22BCH5944,Ananya Reddy,2,Chemical Engineering,7.21
22BIT4000,Neha Verma,2,Information Technology,8.42
23BCH6938,Vivaan Roy,1,Chemical Engineering,6.23
23BEE9987,Ananya Verma,1,Electrical Engineering,9.97
20BIT2401,Neha Sharma,4,Information Technology,7.3
20BIT0636,Sneha Iyer,4,Information Technology,9.87
22BIT0945,Neha Roy,2,Information Technology,9.41
23BIT6116,Arjun Nair,1,Information Technology,6.23
21BME6141,Ishita Gupta,3,Mechanical Engineering,6.47
20BME0853,Krishna Singh,4,Mechanical Engineering,8.22
21BME6562,Ananya Singh,3,Mechanical Engineering,7.26
21BIT5402,Neha Das,3,Information Technology,7.9
22BIT9473,Aarav Das,2,Information Technology,9.13
21BME7807,Krishna Roy,3,Mechanical Engineering,8.62
20BIT4488,Vivaan Reddy,4,Information Technology,7.21
20BCE6028,Vivaan Verma,4,Computer Engineering,6.21
23BME3783,Neha Gupta,1,Mechanical Engineering,6.55
22BME6487,Vivaan Nair,2,Mechanical Engineering,7.56
20BCH4511,Ishita Gupta,4,Chemical Engineering,9.91
20BEE6425,Aarav Sharma,4,Electrical Engineering,7.81
23BCH8702,Ananya Gupta,1,Chemical Engineering,6.9
20BCH1421,Sneha Roy,4,Chemical Engineering,9.69
22BIT4176,Vivaan Das,2,Information Technology,9.65
22BIT1941,Krishna Verma,2,Information Technology,6.8
22BIT9862,Aditya Iyer,2,Information Technology,6.7
20BEE8532,Vivaan Singh,4,Electrical Engineering,8.51
23BME3738,Sneha Gupta,1,Mechanical Engineering,8.04
22BIT6381,Pooja Nair,2,Information Technology,6.49
21BME5779,Arjun Singh,3,Mechanical Engineering,7.15
21BME9616,Ishita Iyer,3,Mechanical Engineering,6.96
20BME0002,Arjun Iyer,4,Mechanical Engineering,6.77
21BCE4570,Krishna Roy,3,Computer Engineering,9.23
20BIT9443,Aditya Sharma,4,Information Technology,7.56
22BCE2591,Ishita Singh,2,Computer Engineering,8.57
21BME1630,Ananya Gupta,3,Mechanical Engineering,8.98
20BME2787,Ishita Verma,4,Mechanical Engineering,7.41
22BIT3019,Arjun Verma,2,Information Technology,8.66
22BIT0693,Aarav Roy,2,Information Technology,9.4
22BCE2738,Sneha Sharma,2,Computer Engineering,9.26
21BEE5405,Ishita Sharma,3,Electrical Engineering,7.76
20BCE3582,Neha Gupta,4,Computer Engineering,8.82
23BCH5346,Aarav Iyer,1,Chemical Engineering,6.85
22BME6864,Ananya Patel,2,Mechanical Engineering,6.93
21BIT6293,Aarav Sharma,3,Information Technology,7.85
21BCE5769,Arjun Das,3,Computer Engineering,7.08
22BCH0658,Neha Reddy,2,Chemical Engineering,7.67
20BCE7936,Sneha Gupta,4,Computer Engineering,8.51
22BEE0077,Aarav Reddy,2,Electrical Engineering,6.53
21BCH9615,Neha Das,3,Chemical Engineering,7.79
23BCE8013,Vivaan Verma,1,Computer Engineering,9.56
21BIT1398,Aarav Roy,3,Information Technology,7.45
21BIT3709,Krishna Gupta,3,Information Technology,7.63
23BEE6916,Pooja Reddy,1,Electrical Engineering,6.99
20BEE8957,Krishna Das,4,Electrical Engineering,7.3
21BCH6550,Krishna Das,3,Chemical Engineering,9.89
21BEE3893,Aditya Roy,3,Electrical Engineering,6.48
22BCE9157,Pooja Nair,2,Computer Engineering,7.65
23BCE0670,Arjun Sharma,1,Computer Engineering,9.37
22BME0331,Arjun Reddy,2,Mechanical Engineering,6.52
21BCE8615,Ishita Patel,3,Computer Engineering,7.84
22BCH2616,Vivaan Singh,2,Chemical Engineering,9.8
22BIT5895,Ananya Verma,2,Information Technology,6.68
21BIT9154,Ananya Verma,3,Information Technology,8.04
22BIT5293,Vivaan Iyer,2,Information Technology,6.64
22BCH7649,Arjun Verma,2,Chemical Engineering,7.82
23BIT4242,Sneha Iyer,1,Information Technology,8.26
23BCH4670,Sneha Verma,1,Chemical Engineering,7.75
23BCE7356,Arjun Sharma,1,Computer Engineering,6.6
21BCH2668,Sneha Gupta,3,Chemical Engineering,8.1
20BCE4847,Krishna Reddy,4,Computer Engineering,6.78
23BIT4880,Vivaan Roy,1,Information Technology,9.19
23BCH2235,Sneha Nair,1,Chemical Engineering,7.83
21BEE4750,Neha Verma,3,Electrical Engineering,6.86
22BIT5408,Pooja Roy,2,Information Technology,7.0
21BIT4339,Aditya Das,3,Information Technology,9.78
22BCH6387,Krishna Das,2,Chemical Engineering,8.42
23BCE2514,Pooja Reddy,1,Computer Engineering,7.94
21BEE6370,Pooja Iyer,3,Electrical Engineering,9.19
20BME1132,Ananya Das,4,Mechanical Engineering,9.42
23BIT2759,Arjun Iyer,1,Information Technology,9.33
21BCH3823,Ananya Reddy,3,Chemical Engineering,8.96
23BCE1070,Ishita Iyer,1,Computer Engineering,7.72
21BCE7555,Arjun Singh,3,Computer Engineering,8.19
22BCH4366,Vivaan Roy,2,Chemical Engineering,9.63
20BCE4412,Aditya Sharma,4,Computer Engineering,8.05
21BCH7159,Ishita Nair,3,Chemical Engineering,6.03
23BEE5525,Pooja Nair,1,Electrical Engineering,7.65
20BME4322,Sneha Iyer,4,Mechanical Engineering,9.35
21BIT1027,Arjun Das,3,Information Technology,7.51
22BEE6905,Vivaan Patel,2,Electrical Engineering,9.8
22BEE9612,Aditya Gupta,2,Electrical Engineering,7.56
20BME9311,Ananya Verma,4,Mechanical Engineering,9.87
23BIT2366,Pooja Iyer,1,Information Technology,9.56
23BCE4874,Aditya Sharma,1,Computer Engineering,7.3
22BEE8354,Pooja Iyer,2,Electrical Engineering,6.44
20BCH4928,Ishita Roy,4,Chemical Engineering,9.5
21BIT9111,Neha Das,3,Information Technology,7.08
23BCH7105,Ishita Verma,1,Chemical Engineering,8.96
20BME4822,Krishna Singh,4,Mechanical Engineering,9.01
22BCE2973,Pooja Singh,2,Computer Engineering,9.19
23BCH8200,Aarav Singh,1,Chemical Engineering,6.24
23BCH7133,Neha Patel,1,Chemical Engineering,8.75
22BCH2629,Arjun Reddy,2,Chemical Engineering,7.81
21BIT4629,Aarav Sharma,3,Information Technology,8.01
20BME1696,Arjun Iyer,4,Mechanical Engineering,6.74
23BCH3651,Aarav Singh,1,Chemical Engineering,6.68
20BIT2219,Ananya Das,4,Information Technology,7.48
20BCH1910,Aditya Patel,4,Chemical Engineering,8.32
22BME6689,Aarav Iyer,2,Mechanical Engineering,9.89
20BME4037,Ishita Singh,4,Mechanical Engineering,9.89
21BEE7554,Pooja Verma,3,Electrical Engineering,8.15
20BEE4695,Ishita Reddy,4,Electrical Engineering,7.36
20BME0451,Pooja Gupta,4,Mechanical Engineering,7.29
21BCH3221,Aarav Das,3,Chemical Engineering,9.95
20BCE4346,Ishita Nair,4,Computer Engineering,9.05
23BIT4245,Aarav Sharma,1,Information Technology,9.58
21BCE3867,Ananya Singh,3,Computer Engineering,7.47
22BCE6438,Krishna Sharma,2,Computer Engineering,8.3
21BEE8694,Aarav Gupta,3,Electrical Engineering,9.75
20BCE4322,Neha Verma,4,Computer Engineering,7.57
20BIT8134,Arjun Nair,4,Information Technology,8.42
20BIT1546,Vivaan Singh,4,Information Technology,9.36
21BIT0655,Aarav Iyer,3,Information Technology,8.31
21BEE7754,Sneha Gupta,3,Electrical Engineering,7.5
21BCE8279,Aarav Sharma,3,Computer Engineering,7.35
21BCE8785,Aarav Nair,3,Computer Engineering,9.39
20BIT3547,Pooja Das,4,Information Technology,9.18
22BEE7997,Krishna Das,2,Electrical Engineering,7.87
22BCE8792,Ananya Singh,2,Computer Engineering,6.3
23BME5630,Krishna Nair,1,Mechanical Engineering,7.0
20BIT4640,Arjun Reddy,4,Information Technology,6.5
20BEE3237,Arjun Patel,4,Electrical Engineering,9.48
22BEE3893,Sneha Iyer,2,Electrical Engineering,8.63
23BCE8946,Krishna Roy,1,Computer Engineering,7.02
20BIT8643,Aditya Das,4,Information Technology,9.33
21BME2645,Ishita Das,3,Mechanical Engineering,9.23
21BCE7913,Pooja Sharma,3,Computer Engineering,8.3
23BCH2871,Aditya Roy,1,Chemical Engineering,8.29
22BCE9797,Vivaan Das,2,Computer Engineering,6.46
21BEE5577,Vivaan Sharma,3,Electrical Engineering,9.96
23BCH7416,Ananya Iyer,1,Chemical Engineering,9.97
20BME2621,Ananya Verma,4,Mechanical Engineering,9.6
20BCH1182,Aarav Sharma,4,Chemical Engineering,6.32
21BME3004,Aditya Singh,3,Mechanical Engineering,8.05
20BCE9983,Aarav Gupta,4,Computer Engineering,8.84
23BCH2144,Neha Patel,1,Chemical Engineering,7.65
23BIT8920,Vivaan Nair,1,Information Technology,6.9
23BIT2801,Pooja Nair,1,Information Technology,7.43
20BCE6641,Neha Verma,4,Computer Engineering,7.29
22BEE8822,Ishita Nair,2,Electrical Engineering,7.98
22BIT0939,Neha Roy,2,Information Technology,9.38
22BEE4725,Aditya Verma,2,Electrical Engineering,7.3
20BIT4955,Arjun Verma,4,Information Technology,7.03
21BCH7455,Aditya Patel,3,Chemical Engineering,9.33
23BME9958,Neha Sharma,1,Mechanical Engineering,6.18
21BCE3882,Krishna Reddy,3,Computer Engineering,6.85
22BCH3512,Sneha Nair,2,Chemical Engineering,9.46
23BCE2473,Vivaan Nair,1,Computer Engineering,8.07
21BEE3059,Ananya Das,3,Electrical Engineering,6.76
21BCE9957,Arjun Reddy,3,Computer Engineering,6.52
20BCE9066,Ananya Patel,4,Computer Engineering,6.82
21BCE6755,Pooja Das,3,Computer Engineering,8.19
21BCH4611,Sneha Sharma,3,Chemical Engineering,8.84
23BME1163,Ananya Reddy,1,Mechanical Engineering,7.41
21BIT6853,Pooja Reddy,3,Information Technology,6.1
20BEE2791,Neha Reddy,4,Electrical Engineering,7.62
23BIT2350,Aarav Gupta,1,Information Technology,6.99
22BME4183,Aditya Roy,2,Mechanical Engineering,7.61
23BIT5433,Arjun Singh,1,Information Technology,6.1
21BIT9188,Arjun Sharma,3,Information Technology,6.69
20BEE0838,Aditya Verma,4,Electrical Engineering,6.55
22BEE9312,Neha Roy,2,Electrical Engineering,9.66
20BIT2161,Aarav Das,4,Information Technology,6.06
21BCE9654,Aditya Verma,3,Computer Engineering,7.1
20BCE8210,Sneha Roy,4,Computer Engineering,7.58
23BIT8122,Vivaan Patel,1,Information Technology,9.92
22BME2134,Ishita Reddy,2,Mechanical Engineering,8.82
21BIT9167,Sneha Singh,3,Information Technology,7.91
22BEE9364,Krishna Nair,2,Electrical Engineering,8.43
22BIT7455,Vivaan Reddy,2,Information Technology,6.99
23BCE5402,Ananya Patel,1,Computer Engineering,7.05
21BCE2912,Ishita Singh,3,Computer Engineering,7.48
23BCH4542,Aditya Roy,1,Chemical Engineering,6.67
23BCH1436,Neha Nair,1,Chemical Engineering,7.72
20BME2021,Arjun Verma,4,Mechanical Engineering,9.09
21BIT9057,Arjun Iyer,3,Information Technology,8.71
23BEE4959,Vivaan Patel,1,Electrical Engineering,6.1
21BCH5262,Ananya Iyer,3,Chemical Engineering,6.2
21BME4559,Neha Reddy,3,Mechanical Engineering,9.36
22BCE9638,Arjun Nair,2,Computer Engineering,9.75
20BCE5110,Pooja Nair,4,Computer Engineering,8.51
23BIT2992,Sneha Singh,1,Information Technology,7.94
22BCE1971,Ishita Singh,2,Computer Engineering,7.53
20BCE7986,Arjun Gupta,4,Computer Engineering,7.93
20BCH0574,Ananya Singh,4,Chemical Engineering,9.56
23BEE8265,Sneha Singh,1,Electrical Engineering,7.62
22BIT1194,Vivaan Sharma,2,Information Technology,8.31
20BCE8611,Pooja Roy,4,Computer Engineering,8.4
21BIT3150,Sneha Nair,3,Information Technology,9.08
20BCH3989,Neha Reddy,4,Chemical Engineering,6.19
23BEE9175,Aditya Singh,1,Electrical Engineering,8.37
21BCH7176,Neha Patel,3,Chemical Engineering,7.4
23BME3061,Pooja Gupta,1,Mechanical Engineering,6.78
20BIT4024,Sneha Sharma,4,Information Technology,6.96
21BEE2561,Vivaan Sharma,3,Electrical Engineering,7.0
21BCH6389,Neha Verma,3,Chemical Engineering,8.18
23BEE6357,Krishna Sharma,1,Electrical Engineering,7.56
20BCH5236,Vivaan Das,4,Chemical Engineering,9.74
22BCH1484,Pooja Iyer,2,Chemical Engineering,9.96
22BME1795,Ananya Reddy,2,Mechanical Engineering,7.51
22BCE5688,Ananya Patel,2,Computer Engineering,9.85
22BCH7595,Sneha Patel,2,Chemical Engineering,8.73
21BIT2114,Ishita Verma,3,Information Technology,8.7
23BCE1636,Arjun Gupta,1,Computer Engineering,6.23
22BIT3954,Pooja Das,2,Information Technology,7.5
21BEE0316,Aditya Patel,3,Electrical Engineering,7.07
21BCE8777,Neha Gupta,3,Computer Engineering,8.64
23BME5084,Ananya Sharma,1,Mechanical Engineering,9.72
21BEE7317,Aditya Roy,3,Electrical Engineering,9.11
23BIT2310,Arjun Reddy,1,Information Technology,7.46
20BME9950,Aarav Nair,4,Mechanical Engineering,6.58
23BCH6970,Krishna Patel,1,Chemical Engineering,8.35
21BEE4180,Ishita Gupta,3,Electrical Engineering,9.0
22BCH6539,Aarav Singh,2,Chemical Engineering,7.12
23BIT7849,Neha Roy,1,Information Technology,9.29
22BCH3379,Aarav Singh,2,Chemical Engineering,9.43
21BEE4411,Krishna Patel,3,Electrical Engineering,8.57
21BME0833,Ananya Reddy,3,Mechanical Engineering,9.62
20BME4962,Aarav Sharma,4,Mechanical Engineering,9.83
20BIT3496,Vivaan Gupta,4,Information Technology,9.72
22BEE5315,Arjun Gupta,2,Electrical Engineering,7.01
23BEE2443,Aarav Das,1,Electrical Engineering,7.5
22BIT0949,Vivaan Das,2,Information Technology,9.38
20BIT0621,Ishita Sharma,4,Information Technology,6.84
22BCH5422,Aditya Roy,2,Chemical Engineering,9.11
21BEE2691,Aarav Nair,3,Electrical Engineering,7.9
20BME8099,Sneha Singh,4,Mechanical Engineering,10.0
23BIT3468,Ishita Roy,1,Information Technology,6.24
21BME8040,Vivaan Nair,3,Mechanical Engineering,9.76
20BCH9517,Vivaan Patel,4,Chemical Engineering,9.24
23BIT6281,Neha Sharma,1,Information Technology,8.58
23BEE9673,Aarav Gupta,1,Electrical Engineering,9.46
23BIT4199,Arjun Reddy,1,Information Technology,6.01
23BEE3508,Neha Verma,1,Electrical Engineering,6.57
21BEE5635,Pooja Sharma,3,Electrical Engineering,6.28
20BEE4273,Vivaan Verma,4,Electrical Engineering,7.35
20BIT6623,Pooja Reddy,4,Information Technology,6.89
20BCH0647,Neha Roy,4,Chemical Engineering,9.06
20BME0937,Ishita Das,4,Mechanical Engineering,8.59
22BME7897,Krishna Singh,2,Mechanical Engineering,9.09
23BIT5795,Aditya Singh,1,Information Technology,8.14
20BEE0377,Neha Singh,4,Electrical Engineering,7.13
23BCH7615,Neha Reddy,1,Chemical Engineering,8.65
21BEE9054,Neha Patel,3,Electrical Engineering,6.28
23BIT4376,Neha Patel,1,Information Technology,7.3
23BCE4472,Aditya Iyer,1,Computer Engineering,8.8
21BIT8651,Arjun Patel,3,Information Technology,8.43
23BCE2834,Aarav Roy,1,Computer Engineering,8.24
21BIT2080,Aditya Roy,3,Information Technology,6.31
23BIT2040,Aditya Singh,1,Information Technology,8.95
23BEE5639,Vivaan Roy,1,Electrical Engineering,8.84
22BCH1982,Arjun Patel,2,Chemical Engineering,6.43
21BEE1014,Aditya Sharma,3,Electrical Engineering,6.1
20BEE9460,Vivaan Roy,4,Electrical Engineering,7.61
20BCH9556,Neha Verma,4,Chemical Engineering,9.89
23BCE6028,Aarav Patel,1,Computer Engineering,7.33
20BCH5599,Arjun Das,4,Chemical Engineering,6.39
23BEE4583,Pooja Patel,1,Electrical Engineering,9.33
23BIT9848,Arjun Nair,1,Information Technology,9.15
21BCH5366,Neha Das,3,Chemical Engineering,7.77
23BIT9033,Aditya Sharma,1,Information Technology,8.87
22BEE6655,Neha Reddy,2,Electrical Engineering,9.5
22BIT0170,Arjun Roy,2,Information Technology,7.01
23BCE6095,Sneha Nair,1,Computer Engineering,7.69
21BIT2672,Vivaan Das,3,Information Technology,6.93
23BCE6749,Krishna Roy,1,Computer Engineering,9.96
21BCH8124,Ananya Gupta,3,Chemical Engineering,7.94
21BIT1375,Vivaan Gupta,3,Information Technology,9.28
21BIT0364,Krishna Singh,3,Information Technology,9.05
21BIT2618,Arjun Roy,3,Information Technology,8.72
23BEE6415,Aditya Reddy,1,Electrical Engineering,7.54
23BCH1080,Ananya Das,1,Chemical Engineering,6.68
22BEE1329,Arjun Roy,2,Electrical Engineering,7.83
22BEE8104,Ananya Verma,2,Electrical Engineering,9.24
20BCH8882,Vivaan Gupta,4,Chemical Engineering,8.96
20BCH3953,Ishita Reddy,4,Chemical Engineering,8.29
21BCE9165,Aditya Reddy,3,Computer Engineering,8.87
23BIT2767,Aditya Reddy,1,Information Technology,8.82
21BIT5972,Sneha Nair,3,Information Technology,7.66
22BCH0983,Aditya Reddy,2,Chemical Engineering,6.35
22BIT7956,Neha Patel,2,Information Technology,7.53
21BIT2434,Aditya Reddy,3,Information Technology,8.47
21BME9119,Neha Reddy,3,Mechanical Engineering,7.8
23BME6941,Neha Patel,1,Mechanical Engineering,6.77
21BEE1762,Ananya Iyer,3,Electrical Engineering,9.43
23BIT7922,Aarav Patel,1,Information Technology,6.6
22BCE4162,Vivaan Gupta,2,Computer Engineering,8.47
22BCE7516,Krishna Nair,2,Computer Engineering,7.73
20BCE9628,Sneha Nair,4,Computer Engineering,6.26
22BCH1662,Vivaan Singh,2,Chemical Engineering,8.54
21BEE6553,Pooja Das,3,Electrical Engineering,7.53
22BME0418,Ananya Singh,2,Mechanical Engineering,7.82
20BIT6774,Krishna Verma,4,Information Technology,8.37
20BCE6333,Aarav Das,4,Computer Engineering,8.8
20BIT8347,Aditya Roy,4,Information Technology,6.66
22BIT2763,Ananya Sharma,2,Information Technology,6.37
23BME9602,Ishita Reddy,1,Mechanical Engineering,7.29
22BME2567,Sneha Gupta,2,Mechanical Engineering,7.8
22BCH1625,Ishita Verma,2,Chemical Engineering,8.85
21BCH3280,Sneha Nair,3,Chemical Engineering,9.03
22BCE5739,Aditya Nair,2,Computer Engineering,6.18
22BCE3091,Krishna Verma,2,Computer Engineering,8.11
21BEE4976,Krishna Iyer,3,Electrical Engineering,9.86
23BCE6216,Aditya Das,1,Computer Engineering,6.56
20BCE1197,Aarav Roy,4,Computer Engineering,9.27
21BIT1188,Vivaan Roy,3,Information Technology,6.7
23BEE5015,Ishita Verma,1,Electrical Engineering,7.92
22BME8372,Vivaan Gupta,2,Mechanical Engineering,9.5
23BCH6540,Aditya Iyer,1,Chemical Engineering,6.95
22BME4581,Ananya Sharma,2,Mechanical Engineering,7.33
21BME7439,Neha Das,3,Mechanical Engineering,8.67
22BIT2851,Ishita Patel,2,Information Technology,9.72
22BME8591,Ananya Gupta,2,Mechanical Engineering,9.76
21BIT6541,Ishita Verma,3,Information Technology,6.08
20BEE1912,Pooja Roy,4,Electrical Engineering,7.56
23BME2309,Aarav Patel,1,Mechanical Engineering,6.67
21BCE8852,Krishna Reddy,3,Computer Engineering,8.74
22BCH4421,Aditya Reddy,2,Chemical Engineering,9.13
22BIT2196,Krishna Roy,2,Information Technology,9.05
23BCH1760,Aditya Iyer,1,Chemical Engineering,8.61
22BEE9051,Aarav Singh,2,Electrical Engineering,7.44
23BCH9785,Neha Sharma,1,Chemical Engineering,7.76
